experiment,n,exp_top_k,strict_cite,prompt,recall,cite_halluc,gold_cited,strict_abstain_pct,ctx_halluc_rate,claim_macro,claim_micro,faithfulness,ans_rel,ans_corr
baseline,2,5,0,default,100.0,0.0,100.0,0.0,50.0,25.0,14.285714285714285,75.0,90.05064367529098,63.60105697338351
k3,2,3,0,default,100.0,0.0,100.0,0.0,50.0,25.0,10.0,100.0,93.38854477888219,67.91409404661763
k8,2,8,0,default,100.0,0.0,100.0,0.0,50.0,50.0,28.57142857142857,75.0,93.38874431072826,65.46384344116218
baseline_cot,2,5,0,chain_of_thought,100.0,0.0,100.0,0.0,0.0,0.0,0.0,96.42857142857143,92.94891633632601,69.45590676867148
baseline_strict_cite,2,5,1,default,100.0,0.0,100.0,0.0,50.0,25.0,16.666666666666664,100.0,93.38813600024865,60.40581011767636
