genre,experiment,recall_at_5,citation_hallucination,gold_chunk_cited,context_hallucination,claim_level_hallucination_rate,faithfulness,answer_relevancy,answer_correctness
fda_label,coarse_chunks,0.75,0.0,0.7,0.1,0.06666666666666667,0.8053571428571429,0.7199751096815528,0.739885429000525
fda_label,deep_headers_fine,0.7,0.0,0.55,0.1,0.125,0.7999999999999999,0.5554432305856173,0.5660673814576989
fda_label,fine_chunks,0.7,0.0,0.5,0.0,0.0,0.7375,0.5827885943986784,0.5506700305714287
finance_10k,coarse_chunks,0.95,0.0,0.9,0.25,0.0875,0.8405882352941176,0.828056888967712,0.8088074262760933
finance_10k,deep_headers_fine,1.0,0.0,0.8500000000000001,0.05,0.0125,0.7208333333333333,0.7352816037648532,0.6928748986641653
finance_10k,fine_chunks,1.0,0.0,0.9,0.05,0.022222222222222223,0.9625,0.7657877819382963,0.8346995277490898
